Kind,Api
"Assembly","Sample[1.0.0.0]"
"Class","Sample[1.0.0.0]:Sample.dll/<Module>"
"Class","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1"
"Field","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#<name>i__Field"
"Property","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#name"
"Method","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#get_name"
"Method","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)"
"Method","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)"
"Method","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode"
"Method","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.JsonRequestReader"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonRequestReader#ReadAsync(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext, System.Runtime[4.2.1.0]/System.Type)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonRequestReader#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.JsonResponseWriter"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonResponseWriter#WriteAsync(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext, System.Runtime[4.2.1.0]/System.Object)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.JsonResponseWriter#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.MyController"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#Get(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#Blah"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#StatusCode(System.Runtime[4.2.1.0]/System.Int32)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#SlowTaskStatusCode"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#FastValueTaskStatusCode(Microsoft.Extensions.Logging.Abstractions[3.0.0.0]/Microsoft.Extensions.Logging.ILoggerFactory)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#DoAsync(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext, System.Runtime[4.2.1.0]/System.String)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#HelloDavid"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#GetAsync(System.Runtime[4.2.1.0]/System.String)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#Hello"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#Post(System.Text.Json[4.0.0.0]/System.Text.Json.JsonDocument)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#PostAForm(Microsoft.AspNetCore.Http.Features[3.0.0.0]/Microsoft.AspNetCore.Http.IFormCollection)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#Authed"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyController#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider"
"Field","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider#_reader"
"Field","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider#_factory"
