Kind,AssemblyName,AssemblyId,Source,Target
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.CompilationRelaxationsAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.CompilationRelaxationsAttribute#.ctor(System.Runtime[4.2.1.0]/System.Int32)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.RuntimeCompatibilityAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.RuntimeCompatibilityAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Diagnostics.DebuggableAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Diagnostics.DebuggableAttribute#.ctor(System.Runtime[4.2.1.0]/System.Diagnostics.DebuggableAttribute/DebuggingModes)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","uController[1.0.0.0]/Microsoft.AspNetCore.Routing.EndpointRouteProviderAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","uController[1.0.0.0]/Microsoft.AspNetCore.Routing.EndpointRouteProviderAttribute#.ctor(System.Runtime[4.2.1.0]/System.Type)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.Versioning.TargetFrameworkAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Runtime.Versioning.TargetFrameworkAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","Microsoft.AspNetCore.Mvc.Core[3.0.0.0]/Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","Microsoft.AspNetCore.Mvc.Core[3.0.0.0]/Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyCompanyAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyCompanyAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyConfigurationAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyConfigurationAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyFileVersionAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyFileVersionAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyInformationalVersionAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyInformationalVersionAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyProductAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]","System.Runtime[4.2.1.0]/System.Reflection.AssemblyProductAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
